how can i make an account as an owner?||click register in the navbar, then enter your data, login with your email or username and password.
how can i make an account as a renter?||click register in the navbar, then enter your data, login with your email or username and password.
what features are available for an owner||As an owner, you can add your units and manage them, add advertisements for your empty units, add appointments for anyone who wants to see the unit in the ad and rent/buy it, add posts in your community and keep in touch with your renters. Renters can pay the rent using our website. You can also edit your units’ info and community name.
what features are available for a renter||If you are a renter and your owner uses this website, you can pay your rent here, contribute and share your views with your neighbors in the community by adding posts and comments. You can also add reviews and ratings for your community to help improve services.
should i have an account to reserve an appointment to see a unit in an ad?||No, all you need to do is click an available appointment and enter your name, email, and phone number.
can i see who paid the rent?||Yes, owners can view payment history and tenant details in the "Payments".
how do i know if someone reserved an appointment?||You will receive a notification in your dashboard.
how do i delete one of my units?||Go to "My Units", click the delete icon on the unit you want to remove.
how can renters see my advertisements?||Renters can visit the "Ads" section where all available ads are listed by location, price, and type.
can i communicate with my neighbors?||Yes, go to the "Community" section to post updates, ask questions, or join discussions with neighbors.
can i rate the community i live in?||Yes, renters can go to the "Add Review" from renter home page section and leave a rating and review for their living area.
how do i add a new unit as an owner?||After logging in as an owner, from your home and click "Add Unit". Fill in the required information and save.
Hi?||Welcome To Our Website Livana. How Can I help you?
Hello?||Welcome To Our Website Livana. How Can I help you?
 ||Welcome To Our Website Livana. How Can I help you?
Tell me about this website||It's called Livana, Livana is a real estate management website which helps owners to manage their units and communicate with their renters, post ads for their empty units and other interested features.
Thanks||You're welcome! Feel free to reach out anytime.
